name,radius,x,y,z
αCentauri,7,-81.688532547584288,-68.30720299830547,-190.79664480480403
Sirius,20,-80.605788369552698,403.8635398591108,-123.68083139189861
εEridani,3,309.97592298149897,414.84570013374241,-86.272662253536708
61Cygni,3,323.65396552569024,-304.73259639036331,356.77185328537792
Procyon,11,-240.41397523187521,519.69623363387393,52.363587157233901
εIndi,3,282.22436966476437,-157.469876487113,-493.61183450810807
τCeti,7,514.15202638048299,250.95753736794984,-163.37995044391826
Groombridge1618,3,-459.81881940123657,235.88645779775626,604.11028161427646
ο2Eridani,3,356.39475642625541,724.86419371411932,-108.53422622864149
70Ophiuchi,3,19.734065735416969,-828.97509852150063,36.20569956261722
Altair,20,383.44942180375915,-730.49356259667786,128.72721516127208
σDraconis,7,128.13044696951081,-300.54378526079842,881.39436219010645
Gliese570,3,-632.24643634673828,-618.4208992808758,-346.87178475552457
ηCassiopeiae,7,504.85805040832992,109.85723284660955,820.94441792924454
36Ophiuchi,3,-168.77109313560814,-855.28625561004719,-436.60822150568481
HR7703,3,428.93118980968768,-665.57750366404025,-577.42932123749165
82G.Eridani,7,462.70201081904349,551.07193288106907,-672.6452066094995
δPavonis,7,213.98298115654285,-340.09514578240913,-910.25907058957694
HR8832,3,568.11354196276352,-117.43622247474453,899.08605655375698
ξBoötis,7,-758.62022905664514,-703.65671137217305,358.31212735119817
Gliese667,3,-169.29833225187667,-935.13324822572702,-665.17958684819405
Gliese105,3,902.4403716224208,731.31323119621754,140.29374021436055
HD4628,3,1182.9834890770819,253.5175733895307,111.82085920658022
βHydri,7,266.36973228712384,30.05592949264684,-1185.0606764312192
107Piscium,3,1031.901516098515,494.93549959024,422.63236070957174
μCassiopeiae,7,675.76436837216659,207.48282133909049,1006.5750827870406
TWPiscisAustrini,3,1016.1112603956313,-289.44321953787681,-649.10748660044749
Vega,20,156.37019234714035,-961.76639685687758,782.97749700885856
Fomalhaut,20,1050.851509751745,-293.15229239869393,-620.32075405701949
Gliese673,3,-186.70770446126249,-1240.1722876753934,46.237754884798527
pEridani,3,643.15524361927328,299.19858846047248,-1059.4604934910476
π3Orionis,11,393.38197227920921,1244.6183736992391,159.37605759956605
χDraconis,11,35.81120680500721,-388.68217998649448,1255.7343351314862
Gliese884,3,1187.0537803668587,-316.57933974876443,-509.49076945611677
μHerculis,7,-70.829879603561167,-1197.3879993335877,630.29366743388243
βCanumVenaticorum,7,-1020.9118317811043,-151.40252106124041,908.53800599955684
61Virginis,7,-1247.6160839263998,-444.28739900371863,-438.27823835397623
ζTucanae,11,592.15914287099713,51.99204010591022,-1267.5347637362502
χ1Orionis,7,32.528024810338088,1326.9182976928289,490.36186520762726
HD50281,3,-319.93729600122185,1377.549784378233,-128.04967078016909
284G.Eridani,3,360.80700700672639,1365.998776096118,-142.35746344591479
41G.Arae,7,-175.05975567523214,-969.63513902948205,-1043.2577721264315
ξUrsaeMajoris,7,-1207.0439430453227,222.71394561511011,753.02285356166306
5G.Capricorni,3,720.61692187845722,-1077.2259547342192,-661.30212032728866
γLeporis,11,91.720001541626431,1350.8778159613557,-559.41180507804984
δEridani,3,816.81170723513731,1202.4468854817374,-250.13021112790454
Groombridge1830,7,-1174.1199087257523,35.978532442764397,908.50040458829517
βComaeBerenices,7,-1252.8390442433215,-406.30483787131891,696.71422257755125
κ1Ceti,7,959.26732933637277,1136.7645764016336,87.592743456735903
HD102365,7,-1142.4251884932783,67.283549471937093,-977.4265254568013
γPavonis,11,493.3259945322157,-390.8531794276318,-1372.5754096770463
61UrsaeMajoris,7,-1281.6915893172763,106.21697941954851,874.0764401105555
HR4458,3,-1302.710601106384,145.59623927872136,-845.78178324727298
12Ophiuchi,3,-567.02223565045313,-1484.0575020438753,-64.491200215655226
Gliese638,3,-426.90283714009462,-1259.5254629145722,880.55356220480428
HR511,3,644.31083568589804,327.39751331791501,1472.1665718562506
HR5256,3,-686.18532847110941,-386.38623393400104,1449.9501278379526
αMensae,7,-19.424929196914515,434.79781127551604,-1596.7462338880641
Gliese453,3,-1469.6001849716924,13.079299168400638,-771.81877941938615
Pollux,3,-659.69981841928757,1333.1051848438055,791.73967673732386
32G.Eridani,3,1206.3858652299789,1130.1746006574881,-374.65119271397367
ιPersei,7,756.25884111594416,818.59609978336925,1310.1041907624847
Wolf635,3,-414.95701295586616,-1698.1797849421823,-154.98740404455123
HR9038,3,439.1026423514906,-14.524467313504349,1704.2822270179311
ζHerculis,11,-504.77498136634222,-1411.4496045148765,922.28641543796357
δTrianguli,7,1209.53044905309,823.95578968483392,995.50637841164655
βVirginis,11,-1777.689640126571,72.213441591661081,54.815711617665421
Gliese86,3,947.37314626225259,605.6827275660163,-1379.8668614287942
Gliese688,3,-161.73436512070739,-1784.2301233544756,111.30975722494014
HR6806,3,59.169386258921918,-1408.277568963729,1119.4879510219628
Gliese505,3,-1629.8414686505919,-567.97513646039897,528.24807754470157
Denebola,20,-1749.7803610804112,83.591459071356823,455.39121197891814
54Piscium,3,1662.10780949829,288.31671707621854,656.02675270082477
γSerpentis,11,-897.12564942284951,-1499.7736335753902,489.96899614128739
Gliese320,3,-923.69653561164591,1069.0942627265572,-1139.3187295503408
Gliese370,3,-1116.785812356261,703.92321317098481,-1252.8693304885398
11LeonisMinoris,7,-1196.048588992968,871.70825431216929,1067.8096703682543
θPersei,11,901.24829140278177,784.8236665201448,1385.8944150668344
Arcturus,3,-1438.2497776365303,-967.02006048169835,602.93845436698052
ηBoötis,7,-1540.2052641761818,-842.22966100721555,583.88093163216809
Gliese902,3,550.24608639220617,-49.074915770634611,-1776.0689449039323
Gliese169,3,670.84347355515172,1599.8192471688224,698.1743409612244
HR5553,3,-1291.4353722896908,-1219.0751460970778,616.80666936032389
ζDoradus,11,240.61051690806229,992.89485696561337,-1601.9570475404355
λSerpentis,7,-1045.2009489520285,-1585.7842316793906,245.08844702837976
ιPegasi,11,1524.5738943151875,-819.08739134501798,819.75318609459237
δCapricorni,20,1550.6727193589645,-1016.3222299502618,-536.10003016676103
γVirginis,11,-1897.5752546933493,-348.89127316887436,-48.816311639375222
Gliese542,3,-807.48690177576975,-560.68512210106428,-1660.8723904367498
Gliese414,3,-1638.7539087532693,355.15959289612556,985.5822087069846
ζ2Reticuli,7,590.16570772921659,691.95745802049021,-1747.5123214759587
ζTrianguliAustralis,11,-261.62955994494916,-619.79838264399973,-1856.885817231338
ζ1Reticuli,7,591.63659225725905,690.96173504666899,-1753.0439308253272
HR3384,7,-1049.7524303464177,1333.0193897105894,-1039.7976445623435
V538Aurigae,3,96.561035924919864,1183.268233345621,1603.3019847478013
βTrianguliAustralis,11,-464.73619821251123,-766.98273701264509,-1793.2603679319893
85Pegasi,7,1802.8859308995848,17.057651448395074,921.91992965300574
Gliese435,3,-1452.4205438871268,120.30935834254817,-1427.4453481621729
ρ1Cancri,7,-1231.0617712328028,1313.2721358337494,970.47834218586024
285G.Puppis,3,-1135.8561716913098,1646.6155724358039,-448.31675614756091
Gliese67,7,1368.9627337973357,651.38509722683114,1394.7180677774693
λAurigae,7,279.45145325094074,1550.7824895106755,1326.8687031892075
22G.Fornacis,7,1525.7843636605562,1058.2705837911196,-903.47686583074949
24G.Virginis,3,-2045.5157607400706,-6.5858005818464225,-377.12318914999952
44Boötis,11,-974.20675637923819,-1006.9757780675724,1537.3096559282556
Gliese675,3,-122.33232589454404,-795.03272340559329,1923.585914576086
Gliese2046,3,27.006839659040523,1043.9091300620701,-1810.4210446149486
36UrsaeMajoris,11,-1084.1027587269161,445.5761003397825,1736.4354716852226
62G.Scorpii,7,-661.85403148941452,-1486.8947228267891,-1327.0619142417788
Gliese428,3,-985.46250250859885,153.05424232800112,-1848.090380651036
Gliese349,3,-1661.3995961118669,1275.8330641856739,207.42799803768222
HD36003,3,291.22013224705688,2100.9502083991115,-129.70758035572351
86G.Sagittarii,7,335.71005283743796,-1959.2817695802655,-765.12332849960148
HD166348,3,83.293517382897107,-1544.2164920671469,-1464.7039344488089
Gliese204,3,291.90535608763815,2105.893620654168,-130.01277466244284
Gliese167,3,560.76450142602391,1149.0993371032357,-1716.0168668778656
Capella,7,279.92574386324605,1463.5668272900541,1542.9318585014482
SZCrateris,3,-1981.4011689544202,336.46363384362246,-749.57763491635842
Gliese716,3,277.71275148934734,-2019.7088602229401,-698.33856230138827
Gliese146,3,845.62009854940379,1153.4561623466643,-1611.9834150740519
V1654Aquilae,3,1098.2311048549518,-1849.940731058404,125.03092377556315
Gliese69,3,855.02058424674101,415.55944972644181,1933.9790961273131
58Eridani,7,644.93585064296281,1973.1809172073276,-632.07184443248843
Gliese528,3,-1730.8349807828477,-892.07561812795291,991.28016263822758
υAndromedae,11,1494.8307731475677,671.80258327370859,1445.1253401549006
Gliese556,3,-1040.212656046871,-823.59999659656694,1754.8905025117804
θUrsaeMajoris,11,-1092.5615017001344,816.84589102251994,1725.9988862459825
LHS3508,3,724.95959202698361,-1223.6058508132865,-1698.0716450678876
V834Tau,3,698.11322092624027,1952.8851112823463,792.00863183410286
Gliese853,7,1188.9547765975906,-565.51140805517161,-1787.4516459376548
Gliese868,3,1818.6689719237595,-655.50924501922123,-1101.5333859017192
Gliese5,7,1953.5454865953764,56.414970813588447,1084.2981060902662
βAquilae,7,1070.9825820828571,-1945.7642030519801,249.44533468603714
10Tauri,11,1306.7223089878019,1813.2020866945829,0
Gliese656,3,-236.8013724816621,-1071.8294824930974,-1958.34922075951
ιPiscium,11,2230.5936518675553,-195.64352252150064,220.62541182634328
γCephei,3,479.96365290087846,-43.363514016628699,2197.78399701749
Gliese615,3,-540.43876290807839,-1081.7829469578271,-1903.3382776631236
Gliese898,3,2143.0729033023481,-255.38914811998521,-653.48291037623324
36UrsaeMajoris,3,-1168.4539317814676,481.50295018709181,1873.6249139743943
18Scorpii,7,-985.70732656840198,-2012.4472166318508,-329.63960111019645
HD23356,3,1202.5645671915202,1781.7545741640956,-744.85844237733772
τ1Eridani,11,1620.7353428504716,1422.5980891204777,-724.60791140183551
Gliese529,3,-1887.0467259830959,-979.7183100135253,-863.84702753480622
Gliese726,3,470.81642936189212,-2241.4572684292357,-145.6921536962999
Gliese282,3,-967.84528362666526,2075.9487633624976,-144.00430151678887
47UrsaeMajoris,7,-1686.3685288031647,456.07042094738085,1488.3500785094641
Gliese532,3,-1306.6943459930887,-694.78170806325306,1760.6329158261246
26Draconis,11,-118.0355783976087,-1077.7682199320473,2028.4189080012166
αFornacis,11,1345.7462350514406,1495.4770671635072,-1114.6817538799619
Gliese42,3,1940.1884915803823,457.00264250324051,-1167.4404489669257
Gliese481,3,-2191.5905875143862,-397.29158774563365,612.5276247034916
Gliese611,7,-865.63755994125438,-1577.0304576708656,1464.9390944327247
HD150689,3,-585.72521998597233,-1706.7113947147291,-1458.2394116959285
HR7578,3,1014.2026499568121,-1862.1129356687411,-941.45015780747667
π1UrsaeMajoris,7,-629.82472737425462,755.93933128287176,2112.0550514149841
RasAlhague,20,-248.78124117171132,-2265.5019313908406,507.77346612976578
ηCephei,3,729.18671880334523,-829.40773283695103,2063.0001313211496
Gliese613,3,-598.62893902080555,-1146.4912609445498,-1950.0772246105025
72Herculis,7,-338.0203240788216,-1949.3162088883273,1258.9414514880687
Gliese796,7,1380.8693264109165,-1642.7429556080033,-945.31501901627792
Gliese481,3,-2229.5402080774056,-404.17109575854499,623.13416365939622
Gliese546,3,-1666.8008426665579,-1188.3672500052412,1164.2951644669117
Gliese420,1,-657.07354099649433,130.10415998047966,2257.7316645868486
ν2Lupi,7,-1005.6678058050633,-1217.80440387305,-1773.7558169811975
θBoötis,11,-1182.3261667555346,-868.5046584649989,1867.7337855352298
Gliese269,3,-538.69068796834199,1531.8298621630711,-1740.0314985889374
Gliese833,3,1220.9553966376791,-881.52686801617608,-1849.4332376127882
ιUrsaeMajoris,20,-1123.6706458926608,1131.3786321420016,1773.5759556025969
Gliese259,3,-566.19227957258261,2068.4696646590191,-1043.59213725373
111Tauri,11,352.70676019228807,2253.4060954064771,714.04405361265754
ψSerpentis,7,-1334.895549717304,-1979.6849713589256,104.88701311671187
Gliese604,3,-894.64517901523845,-1514.0169016301413,-1618.4754632811271
ψCapricorni,11,1435.8122814786016,-1621.4646180799332,-1022.4092060765635
HD97584,3,-668.23402576925844,132.31399709267464,2296.0795484864129
OUGeminorum,3,-259.97912872779108,2267.1501953226048,774.9457042106983
αCorvi,11,-2187.5207043680475,-80.371400989466864,-1008.1634817151986
20LeonisMinoris,7,-1790.7100304667943,1023.3023731427693,1284.9551898435952
ABDoradus,3,137.53147324392546,1002.3738989042408,-2214.8491281942588
νPhoenicis,11,1614.7907182453637,549.58833344254765,-1737.7078580740972
Gliese1021,7,1610.8066230309755,325.89198920301567,-1796.7530254803655
Gliese52,3,1026.1779803792865,309.57701276886314,2191.967341396718
Gliese1279,3,902.36629842597824,-201.35874152518679,-2258.0499818817984
Alderamin,3,856.11957766986131,-727.43538409863186,2165.9863874668408
Gliese738,7,505.60226084420748,-1989.600901679215,1328.1112927260579
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
